id,kelurahan,positif
1,ANCOL,32
2,ANGKE,25
3,BALE KAMBANG,17
4,BALI MESTER,6
5,BAMBU APUS,13
6,BANGKA,21
7,BARU,5
8,BATU AMPAR,25
9,BENDUNGAN HILIR,17
10,BIDARA CINA,44
11,BINTARO,48
12,BUKIT DURI,25
13,BUNGUR,12
14,CAKUNG BARAT,11
15,CAKUNG TIMUR,13
16,CAWANG,22
17,CEGER,1
18,CEMPAKA BARU,40
19,CEMPAKA PUTIH BARAT,48
20,CEMPAKA PUTIH TIMUR,64
21,CENGKARENG BARAT,34
22,CENGKARENG TIMUR,48
23,CIBUBUR,19
24,CIDENG,20
25,CIGANJUR,9
26,CIJANTUNG,16
27,CIKINI,7
28,CIKOKO,10
29,CILANDAK BARAT,37
30,CILANDAK TIMUR,12
31,CILANGKAP,16
32,CILILITAN,15
33,CILINCING,34
34,CIPAYUNG,19
35,CIPEDAK,9
36,CIPETE SELATAN,6
37,CIPETE UTARA,13
38,CIPINANG,20
39,CIPINANG BESAR SELATAN,15
40,CIPINANG BESAR UTARA,39
41,CIPINANG CEMPEDAK,10
42,CIPINANG MELAYU,19
43,CIPINANG MUARA,36
44,CIPULIR,32
45,CIRACAS,32
46,DUKUH,12
47,DUREN SAWIT,51
48,DUREN TIGA,7
49,DURI KEPA,46
50,DURI KOSAMBI,20
51,DURI PULO,9
52,DURI SELATAN,8
53,DURI UTARA,14
54,GALUR,3
55,GAMBIR,6
56,GANDARIA SELATAN,4
57,GANDARIA UTARA,10
58,GEDONG,35
59,GELORA,6
60,GLODOK,2
61,GONDANGDIA,13
62,GROGOL,29
63,GROGOL SELATAN,29
64,GROGOL UTARA,37
65,GUNTUR,5
66,GUNUNG,10
67,GUNUNG SAHARI SELATAN,11
68,GUNUNG SAHARI UTARA,20
69,HALIM PERDANA KUSUMA,24
70,HARAPAN MULIA,23
71,JAGAKARSA,26
72,JATI,32
73,JATI PADANG,15
74,JATI PULO,49
75,JATINEGARA,27
76,JATINEGARA KAUM,3
77,JELAMBAR,30
78,JELAMBAR BARU,12
79,JEMBATAN BESI,62
80,JEMBATAN LIMA,7
81,JOGLO,27
82,JOHAR BARU,37
83,KALI ANYAR,8
84,KALI BARU,28
85,KALIBATA,24
86,KALIDERES,47
87,KALISARI,19
88,KAMAL,4
89,KAMAL MUARA,13
90,KAMPUNG BALI,13
91,KAMPUNG MELAYU,28
92,KAMPUNG RAWA,43
93,KAMPUNG TENGAH,74
94,KAPUK,29
95,KAPUK MUARA,17
96,KARANG ANYAR,30
97,KARET,17
98,KARET KUNINGAN,15
99,KARET SEMANGGI,4
100,KARET TENGSIN,12
101,KARTINI,34
102,KAYU MANIS,30
103,KAYU PUTIH,42
104,KEAGUNGAN,5
105,KEBAGUSAN,21
106,KEBAYORAN LAMA SELATAN,15
107,KEBAYORAN LAMA UTARA,24
108,KEBON BARU,32
109,KEBON BAWANG,33
110,KEBON JERUK,64
111,KEBON KACANG,95
112,KEBON KELAPA,8
113,KEBON KOSONG,42
114,KEBON MANGGIS,8
115,KEBON MELATI,77
116,KEBON PALA,16
117,KEBON SIRIH,25
118,KEDAUNG KALI ANGKE,16
119,KEDOYA SELATAN,17
120,KEDOYA UTARA,19
121,KELAPA DUA,26
122,KELAPA DUA WETAN,11
123,KELAPA GADING BARAT,53
124,KELAPA GADING TIMUR,41
125,KEMANGGISAN,30
126,KEMAYORAN,29
127,KEMBANGAN SELATAN,27
128,KEMBANGAN UTARA,31
129,KENARI,78
130,KERENDANG,29
131,KLENDER,53
132,KOJA,11
133,KOTA BAMBU SELATAN,25
134,KOTA BAMBU UTARA,57
135,KRAMAT,62
136,KRAMAT JATI,12
137,KRAMAT PELA,5
138,KRUKUT,19
139,KUNINGAN BARAT,3
140,KUNINGAN TIMUR,7
141,KWITANG,8
142,LAGOA,56
