id,kelurahan,positif
1,ANCOL,17
2,ANGKE,13
3,BALE KAMBANG,14
4,BALI MESTER,8
5,BAMBU APUS,11
6,BANGKA,17
7,BARU,3
8,BATU AMPAR,22
9,BENDUNGAN HILIR,12
10,BIDARA CINA,27
11,BINTARO,25
12,BUKIT DURI,18
13,BUNGUR,14
14,CAKUNG BARAT,10
15,CAKUNG TIMUR,12
16,CAWANG,21
17,CEGER,1
18,CEMPAKA BARU,29
19,CEMPAKA PUTIH BARAT,35
20,CEMPAKA PUTIH TIMUR,42
21,CENGKARENG BARAT,27
22,CENGKARENG TIMUR,33
23,CIBUBUR,14
24,CIDENG,16
25,CIGANJUR,9
26,CIJANTUNG,6
27,CIKINI,5
28,CIKOKO,7
29,CILANDAK BARAT,28
30,CILANDAK TIMUR,11
31,CILANGKAP,14
32,CILILITAN,14
33,CILINCING,13
34,CIPAYUNG,13
35,CIPEDAK,7
36,CIPETE SELATAN,6
37,CIPETE UTARA,10
38,CIPINANG,18
39,CIPINANG BESAR SELATAN,11
40,CIPINANG BESAR UTARA,27
41,CIPINANG CEMPEDAK,10
42,CIPINANG MELAYU,14
43,CIPINANG MUARA,26
44,CIPULIR,14
45,CIRACAS,21
46,DUKUH,11
47,DUREN SAWIT,39
48,DUREN TIGA,6
49,DURI KEPA,41
50,DURI KOSAMBI,15
51,DURI PULO,3
52,DURI SELATAN,0
53,DURI UTARA,7
54,GALUR,2
55,GAMBIR,1
56,GANDARIA SELATAN,4
57,GANDARIA UTARA,8
58,GEDONG,14
59,GELORA,5
60,GLODOK,2
61,GONDANGDIA,10
62,GROGOL,23
63,GROGOL SELATAN,20
64,GROGOL UTARA,25
65,GUNTUR,4
66,GUNUNG,9
67,GUNUNG SAHARI SELATAN,7
68,GUNUNG SAHARI UTARA,18
69,HALIM PERDANA KUSUMA,24
70,HARAPAN MULIA,14
71,JAGAKARSA,17
72,JATI,25
73,JATI PADANG,13
74,JATI PULO,17
75,JATINEGARA,20
76,JATINEGARA KAUM,1
77,JELAMBAR,26
78,JELAMBAR BARU,11
79,JEMBATAN BESI,25
80,JEMBATAN LIMA,7
81,JOGLO,13
82,JOHAR BARU,22
83,KALI ANYAR,8
84,KALI BARU,12
85,KALIBATA,16
86,KALIDERES,40
87,KALISARI,20
88,KAMAL,4
89,KAMAL MUARA,13
90,KAMPUNG BALI,11
91,KAMPUNG MELAYU,15
92,KAMPUNG RAWA,26
93,KAMPUNG TENGAH,25
94,KAPUK,25
95,KAPUK MUARA,11
96,KARANG ANYAR,17
97,KARET,13
98,KARET KUNINGAN,14
99,KARET SEMANGGI,3
100,KARET TENGSIN,11
101,KARTINI,16
102,KAYU MANIS,27
103,KAYU PUTIH,39
104,KEAGUNGAN,4
105,KEBAGUSAN,15
106,KEBAYORAN LAMA SELATAN,12
107,KEBAYORAN LAMA UTARA,17
108,KEBON BARU,13
109,KEBON BAWANG,23
110,KEBON JERUK,54
111,KEBON KACANG,90
112,KEBON KELAPA,7
113,KEBON KOSONG,28
114,KEBON MANGGIS,4
115,KEBON MELATI,60
116,KEBON PALA,4
117,KEBON SIRIH,10
118,KEDAUNG KALI ANGKE,12
119,KEDOYA SELATAN,15
120,KEDOYA UTARA,15
121,KELAPA DUA,19
122,KELAPA DUA WETAN,10
123,KELAPA GADING BARAT,54
124,KELAPA GADING TIMUR,37
125,KEMANGGISAN,21
126,KEMAYORAN,7
127,KEMBANGAN SELATAN,19
128,KEMBANGAN UTARA,24
129,KENARI,7
130,KERENDANG,15
131,KLENDER,39
132,KOJA,4
133,KOTA BAMBU SELATAN,16
134,KOTA BAMBU UTARA,32
135,KRAMAT,51
136,KRAMAT JATI,11
137,KRAMAT PELA,2
138,KRUKUT,14
139,KUNINGAN BARAT,0
140,KUNINGAN TIMUR,7
141,KWITANG,4
142,LAGOA,34
143,LEBAK BULUS,26
144,LENTENG AGUNG,13
145,LUBANG BUAYA,10
146,MAKASAR,7
147,MALAKA JAYA,13
148,MALAKA SARI,10
149,MAMPANG PRAPATAN,7
150,MANGGA BESAR,4
151,MANGGA DUA SELATAN,14
152,MANGGARAI,4
153,MANGGARAI SELATAN,14
154,MAPHAR,60
155,MARUNDA,5
156,MELAWAI,5
157,MENTENG,21
158,MENTENG ATAS,14
159,MENTENG DALAM,26
160,MERUYA SELATAN,13
161,MERUYA UTARA,19
162,MUNJUL,7
163,PADEMANGAN BARAT,120
164,PADEMANGAN TIMUR,21
165,PAL MERIAM,25
166,PALMERAH,46
167,PANCORAN,14
168,PAPANGGO,5
169,PASAR BARU,23
170,PASAR MANGGIS,7
171,PASAR MINGGU,11
172,PASEBAN,20
173,PEGADUNGAN,49
174,PEGANGSAAN,21
175,PEGANGSAAN DUA,25
176,PEJAGALAN,22
177,PEJATEN BARAT,20
178,PEJATEN TIMUR,33
