id,kelurahan,positif,
1,ANCOL,1,
2,ANGKE,2,
3,BALE KAMBANG,1,
4,BALI MESTER,2,
5,BAMBU APUS,0,
6,BANGKA,1,
7,BARU,0,
8,BATU AMPAR,3,
9,BENDUNGAN HILIR,2,
10,BIDARA CINA,4,
11,BINTARO,0,
12,BUKIT DURI,2,
13,BUNGUR,3,
14,CAKUNG BARAT,1,
15,CAKUNG TIMUR,4,
16,CAWANG,1,
17,CEGER,0,
18,CEMPAKA BARU,5,
19,CEMPAKA PUTIH BARAT,6,
20,CEMPAKA PUTIH TIMUR,20,
21,CENGKARENG BARAT,2,
22,CENGKARENG TIMUR,3,
23,CIBUBUR,1,
24,CIDENG,5,
25,CIGANJUR,4,
26,CIJANTUNG,0,
27,CIKINI,1,
28,CIKOKO,1,
29,CILANDAK BARAT,6,
30,CILANDAK TIMUR,2,
31,CILANGKAP,4,
32,CILILITAN,6,
33,CILINCING,2,
34,CIPAYUNG,2,
35,CIPEDAK,2,
36,CIPETE SELATAN,0,
37,CIPETE UTARA,0,
38,CIPINANG,3,
39,CIPINANG BESAR SELATAN,3,
40,CIPINANG BESAR UTARA,2,
41,CIPINANG CEMPEDAK,2,
42,CIPINANG MELAYU,1,
43,CIPINANG MUARA,4,
44,CIPULIR,2,
45,CIRACAS,2,
46,DUKUH,5,
47,DUREN SAWIT,7,
48,DUREN TIGA,2,
49,DURI KEPA,15,
50,DURI KOSAMBI,2,
51,DURI PULO,0,
52,DURI SELATAN,0,
53,DURI UTARA,0,
54,GALUR,0,
55,GAMBIR,1,
56,GANDARIA SELATAN,2,
57,GANDARIA UTARA,1,
58,GEDONG,1,
59,GELORA,3,
60,GLODOK,1,
61,GONDANGDIA,0,
62,GROGOL,3,
63,GROGOL SELATAN,3,
64,GROGOL UTARA,5,
65,GUNTUR,0,
66,GUNUNG,0,
67,GUNUNG SAHARI SELATAN,0,
68,GUNUNG SAHARI UTARA,3,
69,HALIM PERDANA KUSUMA,4,
70,HARAPAN MULIA,2,
71,JAGAKARSA,3,
72,JATI,4,
73,JATI PADANG,2,
74,JATI PULO,3,
75,JATINEGARA,2,
76,JATINEGARA KAUM,0,
77,JELAMBAR,1,
78,JELAMBAR BARU,1,
79,JEMBATAN BESI,2,
80,JEMBATAN LIMA,2,
81,JOGLO,2,
82,JOHAR BARU,1,
83,KALI ANYAR,0,
84,KALI BARU,0,
85,KALIBATA,3,
86,KALIDERES,6,
87,KALISARI,2,
88,KAMAL,1,
89,KAMAL MUARA,1,
90,KAMPUNG BALI,5,
91,KAMPUNG MELAYU,4,
92,KAMPUNG RAWA,4,
93,KAMPUNG TENGAH,3,
94,KAPUK,4,
95,KAPUK MUARA,2,
96,KARANG ANYAR,1,
97,KARET,2,
98,KARET KUNINGAN,2,
99,KARET SEMANGGI,1,
100,KARET TENGSIN,2,
101,KARTINI,2,
102,KAYU MANIS,4,
103,KAYU PUTIH,8,
104,KEAGUNGAN,3,
105,KEBAGUSAN,1,
106,KEBAYORAN LAMA SELATAN,3,
107,KEBAYORAN LAMA UTARA,1,
108,KEBON BARU,4,
109,KEBON BAWANG,4,
110,KEBON JERUK,1,
111,KEBON KACANG,14,
112,KEBON KELAPA,3,
113,KEBON KOSONG,0,
114,KEBON MANGGIS,0,
115,KEBON MELATI,13,
116,KEBON PALA,1,
117,KEBON SIRIH,3,
118,KEDAUNG KALI ANGKE,2,
119,KEDOYA SELATAN,1,
120,KEDOYA UTARA,4,
121,KELAPA DUA,3,
122,KELAPA DUA WETAN,1,
123,KELAPA GADING BARAT,6,
124,KELAPA GADING TIMUR,6,
125,KEMANGGISAN,7,
126,KEMAYORAN,2,
127,KEMBANGAN SELATAN,3,
128,KEMBANGAN UTARA,5,
129,KENARI,5,
130,KERENDANG,1,
131,KLENDER,5,
132,KOJA,0,
133,KOTA BAMBU SELATAN,0,
134,KOTA BAMBU UTARA,0,
135,KRAMAT,4,
136,KRAMAT JATI,1,
137,KRAMAT PELA,0,
138,KRUKUT,1,
139,KUNINGAN BARAT,0,
140,KUNINGAN TIMUR,2,
141,KWITANG,1,
142,LAGOA,2,
143,LEBAK BULUS,3,
144,LENTENG AGUNG,0,
145,LUBANG BUAYA,4,
146,MAKASAR,1,
147,MALAKA JAYA,2,
148,MALAKA SARI,3,
149,MAMPANG PRAPATAN,2,
150,MANGGA BESAR,0,
151,MANGGA DUA SELATAN,1,
152,MANGGARAI,1,
153,MANGGARAI SELATAN,2,
154,MAPHAR,19,
155,MARUNDA,1,
156,MELAWAI,2,
157,MENTENG,7,
158,MENTENG ATAS,2,
159,MENTENG DALAM,1,
160,MERUYA SELATAN,4,
161,MERUYA UTARA,2,
162,MUNJUL,0,
163,PADEMANGAN BARAT,18,
164,PADEMANGAN TIMUR,3,
165,PAL MERIAM,4,
166,PALMERAH,15,
167,PANCORAN,3,
168,PAPANGGO,1,
169,PASAR BARU,4,
170,PASAR MANGGIS,3,
171,PASAR MINGGU,2,
172,PASEBAN,8,
173,PEGADUNGAN,9,
174,PEGANGSAAN,4,
175,PEGANGSAAN DUA,4,
176,PEJAGALAN,2,
177,PEJATEN BARAT,2,
178,PEJATEN TIMUR,11,
179,PEKAYON,1,
180,PEKOJAN,1,
181,PELA MAMPANG,6,
182,PENGADEGAN,1,
183,PENGGILINGAN,4,
184,PENJARINGAN,2,
185,PESANGGRAHAN,1,
186,PETAMBURAN,39,
187,PETOGOGAN,0,
188,PETOJO SELATAN,1,
189,PETOJO UTARA,4,
190,PETUKANGAN SELATAN,1,
191,PETUKANGAN UTARA,4,
192,PINANG RANTI,1,
193,PINANGSIA,0,
194,PISANGAN BARU,3,
195,PISANGAN TIMUR,1,
196,PLUIT,4,
197,PONDOK BAMBU,5,
198,PONDOK KELAPA,12,
199,PONDOK KOPI,3,
200,PONDOK LABU,5,
201,PONDOK PINANG,3,
202,PONDOK RANGGON,1,
203,PULAU HARAPAN,0,
204,PULAU KELAPA,0,
205,PULAU PANGGANG,0,
206,PULAU PARI,0,
207,PULAU TIDUNG,2,
208,PULAU UNTUNG JAWA,0,
209,PULO,1,
210,PULO GADUNG,5,
211,PULO GEBANG,4,
212,RAGUNAN,2,
213,RAMBUTAN,0,
214,RAWA BADAK SELATAN,2,
215,RAWA BADAK UTARA,0,
216,RAWA BARAT,0,
217,RAWA BUAYA,2,
218,RAWA BUNGA,0,
219,RAWA JATI,2,
220,RAWA TERATE,0,
221,RAWAMANGUN,1,
222,RAWASARI,0,
223,ROA MALAKA,0,
224,ROROTAN,0,
225,SELONG,1,
226,SEMANAN,3,
227,SEMPER BARAT,2,
228,SEMPER TIMUR,5,
229,SENAYAN,0,
230,SENEN,1,
231,SERDANG,4,
232,SETIA BUDI,1,
233,SETU,1,
234,SLIPI,3,
235,SRENGSENG,1,
236,SRENGSENG SAWAH,5,
237,SUKABUMI SELATAN,4,
238,SUKABUMI UTARA,1,
239,SUKAPURA,3,
240,SUMUR BATU,2,
241,SUNGAI BAMBU,1,
242,SUNTER AGUNG,32,
243,SUNTER JAYA,8,
244,SUSUKAN,1,
245,TAMAN SARI,3,
246,TAMBORA,0,
247,TANAH SEREAL,0,
248,TANAH TINGGI,1,
249,TANGKI,1,
250,TANJUNG BARAT,4,
251,TANJUNG DUREN SELATAN,7,
252,TANJUNG DUREN UTARA,1,
253,TANJUNG PRIOK,5,
254,TEBET BARAT,7,
255,TEBET TIMUR,2,
256,TEGAL ALUR,5,
257,TEGAL PARANG,2,
258,TOMANG,6,
259,TUGU SELATAN,3,
260,TUGU UTARA,5,
