id,kelurahan,positif
1,ANCOL,4
2,ANGKE,3
3,BALE KAMBANG,3
4,BALI MESTER,7
5,BAMBU APUS,4
6,BANGKA,9
7,BARU,3
8,BATU AMPAR,18
9,BENDUNGAN HILIR,9
10,BIDARA CINA,14
11,BINTARO,18
12,BUKIT DURI,13
13,BUNGUR,11
14,CAKUNG BARAT,6
15,CAKUNG TIMUR,8
16,CAWANG,12
17,CEGER,1
18,CEMPAKA BARU,12
19,CEMPAKA PUTIH BARAT,28
20,CEMPAKA PUTIH TIMUR,34
21,CENGKARENG BARAT,8
22,CENGKARENG TIMUR,15
23,CIBUBUR,9
24,CIDENG,11
25,CIGANJUR,8
26,CIJANTUNG,3
27,CIKINI,5
28,CIKOKO,5
29,CILANDAK BARAT,23
30,CILANDAK TIMUR,10
31,CILANGKAP,7
32,CILILITAN,11
33,CILINCING,5
34,CIPAYUNG,3
35,CIPEDAK,4
36,CIPETE SELATAN,5
37,CIPETE UTARA,6
38,CIPINANG,7
39,CIPINANG BESAR SELATAN,7
40,CIPINANG BESAR UTARA,4
41,CIPINANG CEMPEDAK,6
42,CIPINANG MELAYU,11
43,CIPINANG MUARA,17
44,CIPULIR,7
45,CIRACAS,13
46,DUKUH,6
47,DUREN SAWIT,27
48,DUREN TIGA,6
49,DURI KEPA,26
50,DURI KOSAMBI,13
51,DURI PULO,1
52,DURI SELATAN,0
53,DURI UTARA,0
54,GALUR,1
55,GAMBIR,2
56,GANDARIA SELATAN,3
57,GANDARIA UTARA,5
58,GEDONG,5
59,GELORA,5
60,GLODOK,2
61,GONDANGDIA,9
62,GROGOL,5
63,GROGOL SELATAN,11
64,GROGOL UTARA,13
65,GUNTUR,3
66,GUNUNG,5
67,GUNUNG SAHARI SELATAN,4
68,GUNUNG SAHARI UTARA,10
69,HALIM PERDANA KUSUMA,19
70,HARAPAN MULIA,9
71,JAGAKARSA,15
72,JATI,17
73,JATI PADANG,9
74,JATI PULO,9
75,JATINEGARA,7
76,JATINEGARA KAUM,1
77,JELAMBAR,13
78,JELAMBAR BARU,6
79,JEMBATAN BESI,4
80,JEMBATAN LIMA,3
81,JOGLO,5
82,JOHAR BARU,12
83,KALI ANYAR,2
84,KALI BARU,4
85,KALIBATA,6
86,KALIDERES,30
