id,kelurahan,positif
1,ANCOL,1
2,ANGKE,0
3,BALE KAMBANG,1
4,BALI MESTER,1
5,BAMBU APUS,0
6,BANGKA,7
7,BARU,0
8,BATU AMPAR,6
9,BENDUNGAN HILIR,2
10,BIDARA CINA,1
11,BINTARO,5
12,BUKIT DURI,3
13,BUNGUR,1
14,CAKUNG BARAT,0
15,CAKUNG TIMUR,1
16,CAWANG,1
17,CEGER,0
18,CEMPAKA BARU,0
19,CEMPAKA PUTIH BARAT,3
20,CEMPAKA PUTIH TIMUR,0
21,CENGKARENG BARAT,1
22,CENGKARENG TIMUR,3
23,CIBUBUR,1
24,CIDENG,0
25,CIGANJUR,1
26,CIJANTUNG,2
27,CIKINI,0
28,CIKOKO,0
29,CILANDAK BARAT,6
30,CILANDAK TIMUR,2
31,CILANGKAP,1
32,CILILITAN,0
33,CILINCING,0
34,CIPAYUNG,0
35,CIPEDAK,0
36,CIPETE SELATAN,2
37,CIPETE UTARA,0
38,CIPINANG,1
39,CIPINANG BESAR SELATAN,0
40,CIPINANG BESAR UTARA,2
41,CIPINANG CEMPEDAK,1
42,CIPINANG MELAYU,2
43,CIPINANG MUARA,2
44,CIPULIR,2
45,CIRACAS,2
46,DUKUH,1
47,DUREN SAWIT,7
48,DUREN TIGA,1
49,DURI KEPA,5
50,DURI KOSAMBI,3
51,DURI PULO,0
52,DURI SELATAN,0
53,DURI UTARA,0
54,GALUR,0
55,GAMBIR,0
56,GANDARIA SELATAN,0
57,GANDARIA UTARA,1
58,GEDONG,0
59,GELORA,2
60,GLODOK,1
61,GONDANGDIA,0
62,GROGOL,1
63,GROGOL SELATAN,3
64,GROGOL UTARA,1
65,GUNTUR,1
66,GUNUNG,1
67,GUNUNG SAHARI SELATAN,0
68,GUNUNG SAHARI UTARA,2
69,HALIM PERDANA KUSUMA,6
70,HARAPAN MULIA,1
71,JAGAKARSA,3
72,JATI,2
73,JATI PADANG,1
74,JATI PULO,2
75,JATINEGARA,0
76,JATINEGARA KAUM,0
77,JELAMBAR,2
78,JELAMBAR BARU,2
79,JEMBATAN BESI,0
80,JEMBATAN LIMA,0
81,JOGLO,2
82,JOHAR BARU,1
83,KALI ANYAR,0
84,KALI BARU,0
85,KALIBATA,1
86,KALIDERES,11
87,KALISARI,2
88,KAMAL,1
89,KAMAL MUARA,1
90,KAMPUNG BALI,0
91,KAMPUNG MELAYU,0
92,KAMPUNG RAWA,3
93,KAMPUNG TENGAH,1
94,KAPUK,1
95,KAPUK MUARA,0
96,KARANG ANYAR,0
97,KARET,0
98,KARET KUNINGAN,4
99,KARET SEMANGGI,2
100,KARET TENGSIN,0
101,KARTINI,0
102,KAYU MANIS,1
103,KAYU PUTIH,2
104,KEAGUNGAN,0
105,KEBAGUSAN,1
106,KEBAYORAN LAMA SELATAN,2
107,KEBAYORAN LAMA UTARA,3
108,KEBON BARU,0
109,KEBON BAWANG,1
110,KEBON JERUK,9
111,KEBON KACANG,0
112,KEBON KELAPA,0
113,KEBON KOSONG,3
114,KEBON MANGGIS,0
115,KEBON MELATI,1
116,KEBON PALA,0
117,KEBON SIRIH,0
118,KEDAUNG KALI ANGKE,1
119,KEDOYA SELATAN,4
120,KEDOYA UTARA,1
121,KELAPA DUA,2
122,KELAPA DUA WETAN,0
123,KELAPA GADING BARAT,3
124,KELAPA GADING TIMUR,13
125,KEMANGGISAN,0
126,KEMAYORAN,1
127,KEMBANGAN SELATAN,2
128,KEMBANGAN UTARA,3
129,KENARI,1
130,KERENDANG,0
131,KLENDER,2
132,KOJA,0
133,KOTA BAMBU SELATAN,0
134,KOTA BAMBU UTARA,3
135,KRAMAT,0
136,KRAMAT JATI,1
137,KRAMAT PELA,1
138,KRUKUT,0
139,KUNINGAN BARAT,0
140,KUNINGAN TIMUR,0
141,KWITANG,0
142,LAGOA,0
143,LEBAK BULUS,4
144,LENTENG AGUNG,0
145,LUBANG BUAYA,0
146,MAKASAR,0
147,MALAKA JAYA,0
148,MALAKA SARI,1
149,MAMPANG PRAPATAN,0
150,MANGGA BESAR,0
151,MANGGA DUA SELATAN,0
152,MANGGARAI,0
153,MANGGARAI SELATAN,0
154,MAPHAR,0
155,MARUNDA,0
156,MELAWAI,1
157,MENTENG,1
158,MENTENG ATAS,1
159,MENTENG DALAM,3
160,MERUYA SELATAN,1
161,MERUYA UTARA,2
162,MUNJUL,1
168,PADEMANGAN BARAT,0
169,PADEMANGAN TIMUR,0
170,PAL MERIAM,0
171,PALMERAH,0
172,PANCORAN,0
173,PAPANGGO,0
174,PASAR BARU,0
175,PASAR MANGGIS,0
176,PASAR MINGGU,4
177,PASEBAN,2
178,PEGADUNGAN,0
179,PEGANGSAAN,0
180,PEGANGSAAN DUA,3
181,PEJAGALAN,2
182,PEJATEN BARAT,1
183,PEJATEN TIMUR,15
184,PEKAYON,1
185,PEKOJAN,1
186,PELA MAMPANG,1
187,PENGADEGAN,0
188,PENGGILINGAN,3
