id,kecamatan,positif
1,CAKUNG,78
2,CEMPAKA PUTIH,74
3,CENGKARENG,72
4,CILANDAK,74
5,CILINCING,42
6,CIPAYUNG,38
7,CIRACAS,39
8,DUREN SAWIT,135
9,GAMBIR,34
10,GROGOL PETAMBURAN,97
11,JAGAKARSA,65
12,JATINEGARA,72
13,JOHAR BARU,37
14,KALIDERES,95
15,KEBAYORAN BARU,58
16,KEBAYORAN LAMA,83
17,KEBON JERUK,113
18,KELAPA GADING,88
19,KEMAYORAN,70
20,KEMBANGAN,70
21,KEP. SERIBU SELATAN,9
22,KEP. SERIBU UTARA,1
23,KOJA,55
24,KRAMAT JATI,71
25,MAKASAR,48
26,MAMPANG PRAPATAN,36
27,MATRAMAN,74
28,MENTENG,51
29,PADEMANGAN,73
30,PALMERAH,69
31,PANCORAN,40
32,PASAR MINGGU,80
33,PASAR REBO,30
34,PENJARINGAN,70
35,PESANGGRAHAN,63
36,PULO GADUNG,94
37,SAWAH BESAR,54
38,SENEN,57
39,SETIABUDI,48
40,TAMAN SARI,62
41,TAMBORA,29
42,TANAH ABANG,204
43,TANJUNG PRIOK,136
44,TEBET,91
