id,kecamatan,positif
1,CAKUNG,136
2,CEMPAKA PUTIH,120
3,CENGKARENG,154
4,CILANDAK,109
5,CILINCING,141
6,CIPAYUNG,74
7,CIRACAS,79
8,DUREN SAWIT,255
9,GAMBIR,64
10,GROGOL PETAMBURAN,130
11,JAGAKARSA,106
12,JATINEGARA,174
13,JOHAR BARU,100
14,KALIDERES,36
15,KEBAYORAN BARU,60
16,KEBAYORAN LAMA,116
17,KEBON JERUK,125
18,KELAPA GADING,102
19,KEMAYORAN,181
20,KEMBANGAN,123
21,KEP. SERIBU SELATAN,11
22,KEP. SERIBU UTARA,1
23,KOJA,158
24,KRAMAT JATI,174
25,MAKASAR,53
26,MAMPANG PRAPATAN,44
27,MATRAMAN,149
28,MENTENG,115
29,PADEMANGAN,222
30,PALMERAH,216
31,PANCORAN,70
32,PASAR MINGGU,136
33,PASAR REBO,73
34,PENJARINGAN,167
35,PESANGGRAHAN,61
36,PULO GADUNG,102
37,SAWAH BESAR,98
38,SENEN,179
39,SETIABUDI,72
40,TAMAN SARI,113
41,TAMBORA,195
42,TANAH ABANG,358
43,TANJUNG PRIOK,207
44,TEBET,52
