id,kecamatan,positif
1,CAKUNG,12
2,CEMPAKA PUTIH,5
3,CENGKARENG,9
4,CILANDAK,22
5,CILINCING,3
6,CIPAYUNG,6
7,CIRACAS,3
8,DUREN SAWIT,26
9,GAMBIR,4
10,GROGOL PETAMBURAN,26
11,JAGAKARSA,14
12,JATINEGARA,11
13,JOHAR BARU,8
14,KALIDERES,34
15,KEBAYORAN BARU,31
16,KEBAYORAN LAMA,23
17,KEBON JERUK,37
18,KELAPA GADING,25
19,KEMAYORAN,8
20,KEMBANGAN,20
21,KEP. SERIBU SELATAN,0
22,KEP. SERIBU UTARA,0
23,KOJA,4
24,KRAMAT JATI,15
25,MAKASAR,12
26,MAMPANG PRAPATAN,11
27,MATRAMAN,9
28,MENTENG,7
29,PADEMANGAN,4
30,PALMERAH,11
31,PANCORAN,6
32,PASAR MINGGU,15
33,PASAR REBO,9
34,PENJARINGAN,9
35,PESANGGRAHAN,16
36,PULO GADUNG,15
37,SAWAH BESAR,4
38,SENEN,4
39,SETIABUDI,12
40,TAMAN SARI,1
41,TAMBORA,1
42,TANAH ABANG,5
43,TANJUNG PRIOK,13
44,TEBET,24
