id,kecamatan,positif
1,CAKUNG,123
2,CEMPAKA PUTIH,94
3,CENGKARENG,138
4,CILANDAK,94
5,CILINCING,94
6,CIPAYUNG,69
7,CIRACAS,63
8,DUREN SAWIT,212
9,GAMBIR,49
10,GROGOL PETAMBURAN,116
11,JAGAKARSA,95
12,JATINEGARA,147
13,JOHAR BARU,70
14,KALIDERES,29
15,KEBAYORAN BARU,54
16,KEBAYORAN LAMA,94
17,KEBON JERUK,129
18,KELAPA GADING,27
19,KEMAYORAN,132
20,KEMBANGAN,102
21,KEP. SERIBU SELATAN,13
22,KEP. SERIBU UTARA,1
23,KOJA,128
24,KRAMAT JATI,148
25,MAKASAR,44
26,MAMPANG PRAPATAN,39
27,MATRAMAN,137
28,MENTENG,73
29,PADEMANGAN,186
30,PALMERAH,176
31,PANCORAN,64
32,PASAR MINGGU,114
33,PASAR REBO,55
34,PENJARINGAN,140
35,PESANGGRAHAN,54
36,PULO GADUNG,114
37,SAWAH BESAR,92
38,SENEN,118
39,SETIABUDI,53
40,TAMAN SARI,103
41,TAMBORA,133
42,TANAH ABANG,337
43,TANJUNG PRIOK,140
44,TEBET,43
